類別：所有類別

天,矽品: (台灣)
2023-10-05,70
2023-10-06,24
2023-10-07,52
2023-10-08,43
2023-10-09,68
2023-10-10,100
2023-10-11,66
2023-10-12,24
2023-10-13,50
2023-10-14,39
2023-10-15,36
2023-10-16,78
2023-10-17,30
2023-10-18,68
2023-10-19,33
2023-10-20,66
2023-10-21,25
2023-10-22,0
2023-10-23,42
2023-10-24,58
2023-10-25,45
2023-10-26,0
2023-10-27,33
2023-10-28,37
2023-10-29,19
2023-10-30,0
2023-10-31,16
2023-11-01,85
